# BANNER FILE NOT PROVIDED (-b option)
# BULK_EXTRACTOR-Version: 2.1.1
# Feature-Recorder: domain
# Filename: terry-work-usb-2009-12-11.E01
# Histogram-File-Version: 1.1
n=6267	chroniclingamerica.loc.gov
n=4191	www.gpo.gov
n=3930	www.osti.gov
n=3558	www.uspto.gov
n=1895	www.fda.gov
n=1754	ntrs.nasa.gov
n=1689	www.ncbi.nlm.nih.gov
n=1336	memory.loc.gov
n=1234	www.epa.gov
n=1181	www.ornl.gov
n=1097	www.loc.gov
n=985	csrc.nist.gov
n=983	www.nsf.gov
n=872	listserv.opm.gov
n=870	www.buyusa.gov
n=855	www.ftc.gov
n=749	www.sba.gov
n=734	www.cdc.gov
n=692	www.census.gov
n=643	listserv.access.gpo.gov
n=601	www.nasa.gov
n=593	ddr.nal.usda.gov
n=580	www.copyright.gov
n=569	www.ars-grin.gov
n=543	edocket.access.gpo.gov
n=539	silk.nih.gov
n=533	www.fnal.gov
n=521	www.reeis.usda.gov
n=509	naldr.nal.usda.gov
n=504	www.anl.gov
n=491	trec.nist.gov
n=489	www.lbl.gov
n=483	www.accessdata.fda.gov
n=465	georgewbush-whitehouse.archives.gov
n=451	www.archives.gov
n=422	www.hhs.gov
n=418	www.bnl.gov
n=410	www.whitehouse.gov
n=409	grants.nih.gov
n=399	patapsco.nist.gov
n=397	www.gpoaccess.gov
n=392	www.ars.usda.gov
n=389	report.nih.gov
n=388	sbir.nasa.gov
n=381	www.mcs.anl.gov
n=378	www.fmcs.gov
n=374	www.cafc.uscourts.gov
n=368	www.cbp.gov
n=353	www.access.gpo.gov
n=341	www.doiu.nbc.gov
n=341	www.sandia.gov
n=337	www.nlm.nih.gov
n=332	www.blm.gov
n=328	linux1.fnal.gov
n=319	altruistic.lbl.gov
n=318	www.justice.gov
n=316	www.isd.mel.nist.gov
n=315	availabletechnologies.pnl.gov
n=312	pdf.usaid.gov
n=307	nvd.nist.gov
n=304	netlib.sandia.gov
n=304	www.jsc.nasa.gov
n=301	www.netl.doe.gov
n=299	www.fas.usda.gov
n=290	www.nrel.gov
n=286	www.gc.energy.gov
n=283	www.csm.ornl.gov
n=280	www.sec.gov
n=276	www.usitc.gov
n=275	ccr.cancer.gov
n=271	www.lanl.gov
n=269	www.fcc.gov
n=268	naldr.repository.nal.usda.gov
n=266	www.gao.gov
n=259	www.ed.gov
n=258	www.aps.anl.gov
n=251	www.doi.gov
n=251	www.nps.gov
n=250	www.llnl.gov
n=247	home.fnal.gov
n=242	thomas.loc.gov
n=241	www.museum.nps.gov
n=240	www.cebaf.gov
n=239	www1.eere.energy.gov
n=238	library.bea.gov
n=237	www.usdoj.gov
n=233	gateway.nlm.nih.gov
n=229	math.nist.gov
n=226	lcweb2.loc.gov
n=226	www.fws.gov
n=224	catdir.loc.gov
n=218	www.nsa.gov
n=213	www.ccrnp.ncifcrf.gov
n=213	www1.va.gov
n=212	www.pppl.gov
n=209	www-cdf.fnal.gov
n=208	change.gov
n=202	www.sti.nasa.gov
n=201	ti.arc.nasa.gov
n=192	www.nersc.gov
n=191	apps.ams.usda.gov
n=189	www.fec.gov
n=189	www.itl.nist.gov
n=188	www.spc.noaa.gov
n=182	esdis.eosdis.nasa.gov
n=179	www.nist.gov
n=176	www.ntia.doc.gov
n=175	www.dhhs.gov
n=173	crd.lbl.gov
n=171	trs-new.jpl.nasa.gov
n=171	www-d0.fnal.gov
n=164	code210.gsfc.nasa.gov
n=160	ehp.niehs.nih.gov
n=159	www.hcup-us.ahrq.gov
n=158	lss.fnal.gov
n=158	math.lanl.gov
n=157	www.faa.gov
n=154	www.cpsc.gov
n=153	www.irs.gov
n=153	www.oshpd.cahwnet.gov
n=152	acs.lbl.gov
n=152	www.phenix.bnl.gov
n=150	rsbweb.nih.gov
n=150	www-nlpir.nist.gov
n=148	vis.lbl.gov
n=148	xmdr.lbl.gov
n=147	www.rehab.research.va.gov
n=146	www.cs.sandia.gov
n=144	www.nohrsc.noaa.gov
n=143	www-robotics.jpl.nasa.gov
n=143	www.hq.nasa.gov
n=142	usms.nist.gov
n=142	vsc.gsa.gov
n=142	www.xml.gov
n=140	fire.nist.gov
n=140	uscode.house.gov
n=140	www.directives.doe.gov
n=138	www.state.gov
n=137	www.opm.gov
n=128	www.bts.gov
n=123	pubs.usgs.gov
n=122	www.ksc.nasa.gov
n=120	www.usaid.gov
n=120	www.va.gov
n=116	nstx.pppl.gov
n=116	www.hiv.lanl.gov
n=114	www.er.doe.gov
n=113	www.ded.uscourts.gov
n=110	uspto.gov
n=110	www.msha.gov
n=109	fire.pppl.gov
n=108	www.ogc.doc.gov
n=107	www.pnl.gov
n=105	www.osec.doc.gov
n=103	www.cia.gov
n=103	www.ihs.gov
n=102	www.niehs.nih.gov
n=102	www.usbr.gov
n=101	nvl.nist.gov
n=100	history.nasa.gov
n=100	www.fbo.gov
n=99	www.eere.energy.gov
n=98	www.cstl.nist.gov
n=97	rex.nci.nih.gov
n=96	buildsecurityin.us-cert.gov
n=96	dsd.lbl.gov
n=96	wheat.pw.usda.gov
n=96	www.acquisition.gov
n=95	public.lanl.gov
n=94	profiles.nlm.nih.gov
n=93	www.america.gov
n=93	www.fly.faa.gov
n=93	www.nrc.gov
n=93	www2.census.gov
n=91	citvideosla.cit.nih.gov
n=91	www.mel.nist.gov
n=91	www.schumer.senate.gov
n=89	www.federalreserve.gov
n=88	ntl.bts.gov
n=88	www.volpe.dot.gov
n=87	gopher.state.gov
n=87	www.billingscountynd.gov
n=85	coding.jpl.nasa.gov
n=85	w3.antd.nist.gov
n=85	www.fhwa.dot.gov
n=85	www.house.gov
n=84	beamdocs.fnal.gov
n=83	apps.fas.gsa.gov
n=83	gltrs.grc.nasa.gov
n=83	mirror.mcs.anl.gov
n=82	quest.nasa.gov
n=82	www-rsicc.ornl.gov
n=82	www.bea.gov
n=81	www.its.bldrdoc.gov
n=81	www.stopfakes.gov
n=78	www.grc.nasa.gov
n=78	www.tsa.gov
n=77	mirror.anl.gov
n=77	statelists.state.gov
n=76	www.agsrhichome.bnl.gov
n=76	www.lsc.usgs.gov
n=76	www.ms.ornl.gov
n=75	w3.pppl.gov
n=74	conferences.fnal.gov
n=74	www.hss.energy.gov
n=74	www.osha.gov
n=73	ustraderep.gov
n=72	csg.lbl.gov
n=72	sdm.lbl.gov
n=72	tdserver1.fnal.gov
n=72	www.atsdr.cdc.gov
n=72	www.imr.sandia.gov
n=71	ipp.gsfc.nasa.gov
n=71	physics.nist.gov
n=71	www.peacecorps.gov
n=70	www.acf.hhs.gov
n=70	www.aphis.usda.gov
n=69	esd.lbl.gov
n=68	info.ornl.gov
n=68	ts.nist.gov
n=67	bosshog.lbl.gov
n=67	dtd.nlm.nih.gov
n=67	www.cendi.gov
n=67	www.fms.treas.gov
n=67	www.usatradeonline.gov
n=66	search.loc.gov:8765
n=66	www.emc.ncep.noaa.gov
n=66	www.senate.gov
n=65	rs6.loc.gov
n=65	rsb.info.nih.gov
n=64	hongkong.usconsulate.gov
n=64	www.nws.noaa.gov
n=62	docdb.fnal.gov
n=62	rulings.cbp.gov
n=62	www.fema.gov
n=61	tsapps.nist.gov
n=61	www.bioethics.gov
n=61	www.eric.ed.gov
n=60	vision.arc.nasa.gov
n=60	www.disasterhousing.gov
n=60	www.epm.ornl.gov
n=60	www.usgs.gov
n=60	www3.cancer.gov
n=59	geo.arc.nasa.gov
n=59	sti.srs.gov
n=59	www.ncs.gov
n=58	bxa.ntis.gov
n=58	jazz.nist.gov
n=58	www.ntsb.gov
n=58	www.uscis.gov
n=57	cio.nist.gov
n=57	www.eia.doe.gov
n=57	www.gsa.gov
n=57	www.nigms.nih.gov
n=57	www.warms.vba.va.gov
n=56	nnlm.gov
n=56	people.nas.nasa.gov
n=56	scifiles.larc.nasa.gov
n=56	www.us-cert.gov
n=55	archive.gao.gov
n=55	water.usgs.gov
n=55	www.fgdc.gov
n=55	www.nls.gov
n=55	www.uscourts.gov
n=54	www-pseekits.fnal.gov
n=54	www.doeal.gov
n=53	iccvam.niehs.nih.gov
n=53	www-ppd.fnal.gov
n=53	www.atp.nist.gov
n=53	www.ice.gov
n=52	www.ameslab.gov
n=52	www.cmt.anl.gov
n=52	www.os.dhhs.gov
n=52	www.thomas.gov
n=52	www.usda.gov
n=51	cd-docdb.fnal.gov
n=51	judiciary.house.gov
n=51	ott.od.nih.gov
n=51	statusreports.atp.nist.gov
n=51	vision.lbl.gov
n=51	www.ncnr.nist.gov
n=50	foia.larc.nasa.gov
n=50	kiev.usembassy.gov
n=50	nodis3.gsfc.nasa.gov
n=50	www.nas.nasa.gov
n=50	www.techtransfer.osmre.gov
n=49	patents.uspto.gov
n=49	pe.usps.gov
n=49	publicaccess.nih.gov
n=49	www.gfdl.noaa.gov
n=49	www.hydrogen.energy.gov
n=49	www.scl.ameslab.gov
n=49	www.trade.gov
n=48	safety.fhwa.dot.gov
n=48	www.access-board.gov
n=47	theory.fnal.gov
n=47	www-lmmb.ncifcrf.gov
n=47	www.cio.gov
n=47	www.export.gov
n=47	www.phy.bnl.gov
n=46	travel.state.gov
n=46	www.ahrq.gov
n=46	www.fta.dot.gov
n=46	www.tc.faa.gov
n=45	computing.ornl.gov
n=45	docs.lib.noaa.gov
n=45	faaco.faa.gov
n=45	human-factors.arc.nasa.gov
n=45	www.bis.doc.gov
n=45	www.energystar.gov
n=45	www.mrsars.usda.gov
n=45	www.nr.nps.gov
n=45	www.pacha.gov
n=44	fishbull.noaa.gov
n=44	procurement.jsc.nasa.gov
n=44	toxics.usgs.gov
n=44	training.fema.gov
n=44	www.ers.usda.gov
n=44	www.flra.gov
n=44	www.irs.ustreas.gov
n=44	www.lobos.nih.gov
n=44	www.qualityindicators.ahrq.gov
n=44	www.usphs.gov
n=43	buildingsdatabook.eere.energy.gov
n=43	tf.nist.gov
n=43	tmo.jpl.nasa.gov
n=43	transportation.house.gov
n=43	upc.lbl.gov
n=43	www.cms.hhs.gov
n=43	www.hud.gov
n=43	www.ncjrs.gov
n=43	www.science.doe.gov
n=42	afni.nimh.nih.gov
n=42	hpcrd.lbl.gov
n=42	law2.house.gov
n=42	leahy.senate.gov
n=42	www.broadband.gov
n=42	www.c3.lanl.gov
n=42	www.fmcsa.dot.gov
n=42	www.nih.gov
n=42	www.paed.uscourts.gov
n=41	alxr.usatlas.bnl.gov
n=41	www.nifc.gov
n=41	www.rhichome.bnl.gov
n=40	fido.gov
n=40	vote.nist.gov
n=40	www.emsl.pnl.gov
n=40	www.lib.noaa.gov
n=40	www.mms.gov
n=40	www1.nasa.gov
n=39	computing.llnl.gov
n=39	humansystems.arc.nasa.gov
n=39	uscms.fnal.gov
n=39	www.bio.anl.gov
n=39	www.esd.ornl.gov
n=39	www.nitrd.gov
n=39	www.ofcm.gov
n=39	www.srs.fs.usda.gov
n=38	cci.lbl.gov
n=38	www.cap.bnl.gov
n=38	www.ctd.uscourts.gov
n=38	www.fire.tc.faa.gov
n=38	www.fp.ed.gov
n=38	www.lm.doe.gov
n=38	www.supremecourtus.gov
n=37	cdiac.ornl.gov
n=37	davis.lbl.gov
n=37	heasarc.gsfc.nasa.gov
n=37	hpc.pnl.gov
n=37	ntp.niehs.nih.gov
n=37	qso.lanl.gov
n=37	www-eng.llnl.gov
n=37	www.esrl.noaa.gov
n=37	www.idmanagement.gov
n=37	www.lecb.ncifcrf.gov
n=37	www.metcer.ameslab.gov
n=37	yosemite.epa.gov
n=36	agclass.nal.usda.gov
n=36	sdms.ak.blm.gov
n=36	www.fjc.gov
n=36	www.grc.nia.nih.gov
n=36	www.nal.usda.gov
n=36	www.ntis.gov
n=36	www.transportation.anl.gov
n=36	www.ustr.gov
n=35	hissa.nist.gov
n=35	www-nrd.nhtsa.dot.gov
n=35	www.bls.gov
n=35	www.nhtsa.dot.gov
n=35	www.pbm.va.gov
n=34	aviationweather.gov
n=34	beta.uspto.gov
n=34	clinton4.nara.gov
n=34	larpdocs.fnal.gov
n=34	ribbs.usps.gov
n=34	www-eng.lbl.gov
n=34	www.antd.nist.gov
n=34	www.es.anl.gov
n=34	www.rurdev.usda.gov
n=34	www.usmint.gov
n=33	comsci.nist.gov
n=33	foia.fbi.gov
n=33	ftp.uspto.gov
n=33	health.minnesota.gov
n=33	infoserve.sandia.gov
n=33	mercury.ornl.gov
n=33	oba.od.nih.gov
n=33	pcp.lanl.gov
n=33	ssed.gsfc.nasa.gov
n=33	www.ccs3.lanl.gov
n=33	www.emcbc.doe.gov
n=33	www.nhlbi.nih.gov
n=32	computation.llnl.gov
n=32	csmr.ca.sandia.gov
n=32	home.ccr.cancer.gov
n=32	origin.cdc.gov
n=32	sector7.xor.aps.anl.gov
n=32	webtads.arc.nasa.gov
n=32	www-aig.jpl.nasa.gov
n=32	www.customs.gov
n=32	www.nefsc.noaa.gov
n=32	www.nlrb.gov
n=32	www.ojp.usdoj.gov
n=32	www.ostp.gov
n=32	www.sbir.nasa.gov
n=32	www.ustreas.gov
n=31	ftp.cdc.gov
n=31	oamp.od.nih.gov
n=31	static.nvd.nist.gov
n=31	www.dol.gov
n=31	www.jfmip.gov
n=31	www.louisvilleco.gov
n=31	www.ngs.noaa.gov
n=31	www.rhic.bnl.gov
n=30	cdm.fly.faa.gov
n=30	rarediseases.info.nih.gov
n=30	www.phy.ornl.gov
n=29	cdiac.esd.ornl.gov
n=29	clerk.house.gov
n=29	dsnra.jpl.nasa.gov
n=29	history.msfc.nasa.gov
n=29	ideasec.nbc.gov
n=29	infousa.state.gov
n=29	jakarta.usembassy.gov
n=29	publications.nigms.nih.gov
n=29	search.nal.usda.gov
n=29	str.llnl.gov
n=29	vm.cfsan.fda.gov
n=29	www.dni.gov
n=29	www.fsis.usda.gov
n=29	www.pgec.usda.gov
n=29	www.usna.usda.gov
n=28	archive.hhs.gov
n=28	permanent.access.gpo.gov
n=28	quake.usgs.gov
n=28	www-itg.lbl.gov
n=28	www.cabarruscountync.gov
n=28	www.ccs.ornl.gov
n=28	www.cfo.doe.gov
n=28	www.eeel.nist.gov
n=28	www.fdic.gov
n=28	www.foia.cia.gov
n=28	www.genome.gov
n=28	www.msd.anl.gov
n=28	www.navcen.uscg.gov
n=28	www.prod.sandia.gov
n=27	chesapeakebay.noaa.gov
n=27	ia.ita.doc.gov
n=27	neutrons.ornl.gov
n=27	nwg.phy.bnl.gov
n=27	quark.phy.bnl.gov
n=27	www-lecb.ncifcrf.gov
n=27	www.cand.uscourts.gov
