Foremost version 1.5.7 by Jesse Kornblum, Kris Kendall, and Nick Mikus
Audit File

Foremost started at Fri Sep 27 18:43:42 2024
Invocation: foremost -i oneGB.dd -o ./Fack -c myF.conf 
Output directory: /home/kali/Desktop/GitHub/Sem-5-College-Repo/dfw/27thSept/Fack
Configuration file: /home/kali/Desktop/GitHub/Sem-5-College-Repo/dfw/27thSept/myF.conf
------------------------------------------------------------------
File: oneGB.dd
Start: Fri Sep 27 18:43:42 2024
Length: 1024 MB (1073741824 bytes)
 
Num	 Name (bs=512)	       Size	 File Offset	 Comment 

0:	00000776.jpg 	      16 KB 	     397461 	 
1:	00000809.jpg 	      21 KB 	     414668 	 
2:	00000853.jpg 	      23 KB 	     436882 	 
3:	00000899.jpg 	      19 KB 	     460631 	 
4:	00000939.jpg 	      12 KB 	     481134 	 
5:	00000965.jpg 	      14 KB 	     494286 	 
6:	00000995.jpg 	      16 KB 	     509471 	 
7:	00001028.jpg 	      18 KB 	     526666 	 
8:	00001065.jpg 	      17 KB 	     545313 	 
9:	00001101.jpg 	      19 KB 	     563813 	 
10:	00001139.jpg 	      15 KB 	     583380 	 
11:	00001169.jpg 	      26 KB 	     599037 	 
12:	00001222.jpg 	      17 KB 	     626030 	 
13:	00001258.jpg 	      14 KB 	     644284 	 
14:	00001286.jpg 	      16 KB 	     658759 	 
15:	00001319.jpg 	      11 KB 	     675701 	 
16:	00001343.jpg 	      24 KB 	     688009 	 
17:	00001392.jpg 	      27 KB 	     713085 	 
18:	00001447.jpg 	      16 KB 	     740938 	 
19:	00001528.jpg 	       9 KB 	     782549 	 
20:	00001547.jpg 	      21 KB 	     792384 	 
21:	00001719.jpg 	      20 KB 	     880272 	 
22:	00001759.jpg 	      13 KB 	     901068 	 
23:	00001787.jpg 	      23 KB 	     915286 	 
24:	00001834.jpg 	      26 KB 	     939154 	 
25:	00001887.jpg 	      14 KB 	     966544 	 
26:	00001917.jpg 	      23 KB 	     981627 	 
27:	00001964.jpg 	      29 KB 	    1005830 	 
28:	00002022.jpg 	      20 KB 	    1035607 	 
29:	00002063.jpg 	      24 KB 	    1056306 	 
30:	00002111.jpg 	      20 KB 	    1081134 	 
31:	00002152.jpg 	      16 KB 	    1101979 	 
32:	00002185.jpg 	      11 KB 	    1118756 	 
33:	00002207.jpg 	      11 KB 	    1130406 	 
34:	00002231.jpg 	      10 KB 	    1142644 	 
35:	00002253.jpg 	       9 KB 	    1153538 	 
36:	00002271.jpg 	       9 KB 	    1162960 	 
37:	00002291.jpg 	      11 KB 	    1173024 	 
38:	00002313.jpg 	      14 KB 	    1184717 	 
39:	00002343.jpg 	      10 KB 	    1199722 	 
40:	00002364.jpg 	      12 KB 	    1210533 	 
41:	00002390.jpg 	      15 KB 	    1223689 	 
42:	00002422.jpg 	      15 KB 	    1240065 	 
43:	00002453.jpg 	       9 KB 	    1256219 	 
44:	00002473.jpg 	       8 KB 	    1266445 	 
45:	00002490.jpg 	      13 KB 	    1275046 	 
46:	00002517.jpg 	      13 KB 	    1288738 	 
47:	00002543.jpg 	      14 KB 	    1302347 	 
48:	00002573.jpg 	      11 KB 	    1317686 	 
49:	00002596.jpg 	      10 KB 	    1329523 	 
50:	00002616.jpg 	      10 KB 	    1339843 	 
51:	00002637.jpg 	      12 KB 	    1350607 	 
52:	00002662.jpg 	      12 KB 	    1363102 	 
53:	00002688.jpg 	       8 KB 	    1376327 	 
54:	00002705.jpg 	      10 KB 	    1385362 	 
55:	00002726.jpg 	      17 KB 	    1396004 	 
56:	00002761.jpg 	      30 KB 	    1413714 	 
57:	00002821.jpg 	      14 KB 	    1444545 	 
58:	00003028.jpg 	      20 KB 	    1550470 	 
59:	00003068.jpg 	      19 KB 	    1571216 	 
60:	00003107.jpg 	      17 KB 	    1591118 	 
61:	00003142.jpg 	      14 KB 	    1609154 	 
62:	00003171.jpg 	      16 KB 	    1623595 	 
63:	00003257.jpg 	      14 KB 	    1667692 	 
64:	00003816.jpg 	      38 KB 	    1953941 	 
65:	00003892.jpg 	      55 KB 	    1993073 	 
66:	00008189.jpg 	      19 KB 	    4192775 	 
67:	00008501.jpg 	      49 KB 	    4352575 	 
68:	00008599.jpg 	      50 KB 	    4403050 	 
69:	00008699.jpg 	      78 KB 	    4454347 	 
70:	00009267.jpg 	      39 KB 	    4744775 	 
71:	00010959.jpg 	      47 KB 	    5611076 	 
72:	00011054.jpg 	      54 KB 	    5660004 	 
73:	00011164.jpg 	      50 KB 	    5716113 	 
74:	00013713.jpg 	      33 KB 	    7021118 	 
75:	00074440.jpg 	     294 KB 	   38113280 	 
76:	00000776_1.jpg 	      16 KB 	     397461 	 
77:	00000809_1.jpg 	      21 KB 	     414668 	 
78:	00000853_1.jpg 	      23 KB 	     436882 	 
79:	00000899_1.jpg 	      19 KB 	     460631 	 
80:	00000939_1.jpg 	      12 KB 	     481134 	 
81:	00000965_1.jpg 	      14 KB 	     494286 	 
82:	00000995_1.jpg 	      16 KB 	     509471 	 
83:	00001028_1.jpg 	      18 KB 	     526666 	 
84:	00001065_1.jpg 	      17 KB 	     545313 	 
85:	00001101_1.jpg 	      19 KB 	     563813 	 
86:	00001139_1.jpg 	      15 KB 	     583380 	 
87:	00001169_1.jpg 	      26 KB 	     599037 	 
88:	00001222_1.jpg 	      17 KB 	     626030 	 
89:	00001258_1.jpg 	      14 KB 	     644284 	 
90:	00001286_1.jpg 	      16 KB 	     658759 	 
91:	00001319_1.jpg 	      11 KB 	     675701 	 
92:	00001343_1.jpg 	      24 KB 	     688009 	 
93:	00001392_1.jpg 	      27 KB 	     713085 	 
94:	00001447_1.jpg 	      16 KB 	     740938 	 
95:	00001528_1.jpg 	       9 KB 	     782549 	 
96:	00001547_1.jpg 	      21 KB 	     792384 	 
